StoreType,SalesMonth,TotalSales,AvgSales
a,April,309808014,7032.4605
a,August,196876022,6632.8422
a,December,233264321,8502.1257
a,February,284545471,6580.3032
a,January,304576406,6541.4490
a,July,322031387,6931.9655
a,June,310104413,6964.8822
a,March,321863327,6942.3952
a,May,303388388,7031.3430
a,November,200194343,7155.1643
a,October,191727165,6596.7233
a,September,186955602,6552.0292
b,April,15449053,10403.4027
b,August,9748097,9528.9316
b,December,11799050,11533.7732
b,February,13754300,9945.2639
b,January,14335394,9351.2029
b,July,15772162,10201.9159
b,June,15844796,10563.1973
b,March,15558123,10276.1711
b,May,16537057,10669.0690
b,November,10510821,10616.9909
b,October,10296279,10064.7889
b,September,9626263,9723.4980
c,April,75371225,6991.7648
c,August,49239042,6618.1508
c,December,61720268,8942.3744
c,February,69631800,6577.7253
c,January,74586663,6557.6458
c,July,79115030,6836.7637
c,June,74962664,6841.5318
c,March,78800324,6961.7744
c,May,74725937,7070.2940
c,November,51152784,7235.1887
c,October,47726862,6572.1374
c,September,46188827,6471.7426
d,April,175267003,6898.3746
d,August,105928041,6512.2366
d,December,127047514,8451.8038
d,February,160802839,6424.9177
d,January,173230261,6447.6965
d,July,178140626,6851.0355
d,June,177200902,6924.6152
d,March,183610132,6856.2409
d,May,174596835,7031.1225
d,November,107640929,7006.9606
d,October,102128422,6406.2490
d,September,99799439,6372.8888
