Store,PromoAvg,NonPromoAvg,PromoLiftPercent
1,5300.1114,4319.7564,22.69468372
2,6277.4407,3864.2884,62.44752134
3,8854.6286,5382.6131,64.50427484
4,10576.1586,8870.3550,19.23038767
5,6096.6838,3511.4065,73.62511824
6,6642.3324,4578.6379,45.07223771
7,10523.1271,7419.0162,41.83992634
8,7113.0765,4250.4432,67.34905578
9,7576.4171,5735.0000,32.10840702
10,6309.4533,4961.4965,27.16834997
11,9230.1615,7048.8144,30.94629776
12,9286.5864,6199.7216,49.79037826
13,6445.2153,3921.0058,64.37658389
14,6697.8114,4538.3217,47.58344391
15,7883.9943,5680.8817,38.78117503
16,9182.2816,6462.6037,42.08331492
17,8419.7337,4620.7972,82.21387656
18,7873.1388,5479.9977,43.67047736
19,7959.8686,5245.2564,51.75365986
20,8960.9410,6819.3333,31.40494124
21,6969.2069,4276.1748,62.97759520
22,5452.4615,3794.7514,43.68428650
23,6795.5057,4479.8881,51.68918385
24,11312.7971,7818.1725,44.69874067
25,13003.6331,9663.4199,34.56553960
26,8224.4476,5394.0233,52.47334169
27,11835.2600,7555.8695,56.63663933
28,6836.9624,4064.8365,68.19772307
29,8822.3486,6175.6131,42.85785872
30,6336.2155,4449.9837,42.38738765
31,6703.8867,5173.2506,29.58751141
32,5213.7336,3162.9798,64.83613117
33,9464.0429,7598.4685,24.55197805
34,9087.4448,7166.6288,26.80222529
35,12089.5057,7756.0979,55.87097877
36,10072.8394,8805.2443,14.39591142
37,8102.1254,6305.8438,28.48598195
38,7311.6800,4938.2960,48.06078746
39,6333.1171,3644.6667,73.76396039
40,5405.9023,4492.8995,20.32101451
41,5979.6496,4827.5374,23.86542441
42,12132.6657,8583.5315,41.34818237
43,8449.8286,5495.5944,53.75640828
44,6834.7932,4367.6613,56.48633915
45,6168.5400,4679.4149,31.82289042
46,6636.8650,4340.8736,52.89238138
47,8500.1955,6035.2459,40.84256967
48,4582.4618,3404.6520,34.59413161
49,8353.6897,6452.7086,29.46020254
50,5105.7571,3562.8531,43.30529304
51,7380.2774,6120.2069,20.58869082
52,8680.4307,6406.0460,35.50372083
53,6321.5666,4399.2947,43.69500240
54,8819.7147,7158.3271,23.20915920
55,5757.5795,3646.1308,57.90929608
56,8143.1057,6654.7633,22.36506840
57,13114.7983,8542.1754,53.52995841
58,7612.0655,5327.8994,42.87179331
59,6988.7960,4277.3450,63.39098326
60,10171.5142,6274.3808,62.11183959
61,5363.6351,4201.5221,27.65933090
62,7926.2143,5343.4429,48.33534199
63,8085.1955,6031.8654,34.04137679
64,12088.9314,8948.5874,35.09318143
65,6450.5926,4018.4149,60.52579745
66,6793.1638,5563.7226,22.09745648
67,9725.5546,6290.4103,54.60922581
68,7859.9178,7320.2761,7.37187693
69,10927.9286,8207.1555,33.15123169
70,7854.2108,5593.1555,40.42539838
71,11218.2486,7301.1841,53.64971410
72,5985.5200,3182.9253,88.05091102
73,5581.2493,3754.4548,48.65671992
74,7493.0144,5251.3458,42.68750643
75,6562.5524,5581.9188,17.56803799
76,10341.2255,7939.3132,30.25340064
77,8978.8029,6519.2622,37.72728582
78,4576.3077,3014.7902,51.79522865
79,6763.9109,4428.0746,52.75060930
80,8649.5171,6773.3007,27.70017938
81,7339.7664,6706.9023,9.43601228
82,11405.4971,7073.1608,61.25035754
83,4572.2114,3329.2517,37.33450560
