SalesMonth,Revenue,PrevMonthRevenue,MoMGrowthPercent
2013-01,180132207,NULL,NULL
2013-02,171534275,180132207,-4.7731
2013-03,201180369,171534275,17.2829
2013-04,183431432,201180369,-8.8224
2013-05,185411063,183431432,1.0792
2013-06,180702351,185411063,-2.5396
2013-07,208843882,180702351,15.5734
2013-08,198042727,208843882,-5.1719
2013-09,178053963,198042727,-10.0932
2013-10,187662330,178053963,5.3963
2013-11,196170924,187662330,4.5340
2013-12,231710561,196170924,18.1167
2014-01,187752787,231710561,-18.9710
2014-02,178924677,187752787,-4.7020
2014-03,193019854,178924677,7.8777
2014-04,194544977,193019854,0.7901
2014-05,194693257,194544977,0.0762
2014-06,190047051,194693257,-2.3864
2014-07,173892707,190047051,-8.5002
2014-08,163748475,173892707,-5.8336
2014-09,164516168,163748475,0.4688
2014-10,164216398,164516168,-0.1822
2014-11,173327953,164216398,5.5485
2014-12,202120592,173327953,16.6117
2015-01,198843730,202120592,-1.6212
2015-02,178275458,198843730,-10.3439
2015-03,205631683,178275458,15.3449
2015-04,197918886,205631683,-3.7508
2015-05,189143897,197918886,-4.4336
2015-06,207363373,189143897,9.6326
2015-07,212322616,207363373,2.3916
