Store,Date,PredictedSales
1,2015-08-01,7639.669
1,2015-08-02,6607.854
1,2015-08-03,9185.319
1,2015-08-04,9185.319
1,2015-08-05,8078.8657
1,2015-08-06,7128.21
1,2015-08-07,7080.45
1,2015-08-08,7375.747
1,2015-08-09,6705.681
1,2015-08-10,6800.316
1,2015-08-11,6800.316
1,2015-08-12,6246.054
1,2015-08-13,5788.1646
1,2015-08-14,5832.682
1,2015-08-15,6524.6313
1,2015-08-16,6470.4136
1,2015-08-17,9034.036
1,2015-08-18,9034.036
1,2015-08-19,8040.2607
1,2015-08-20,7230.4814
1,2015-08-21,6984.0527
1,2015-08-22,7463.8647
1,2015-08-23,6803.69
1,2015-08-24,7036.2295
1,2015-08-25,7036.2295
1,2015-08-26,6406.415
1,2015-08-27,5972.7026
1,2015-08-28,5925.529
1,2015-08-29,7304.7217
1,2015-08-30,7082.4385
1,2015-08-31,8860.154
1,2015-09-01,9777.273
1,2015-09-02,8311.52
1,2015-09-03,7443.5977
1,2015-09-04,7102.783
1,2015-09-05,7743.5728
1,2015-09-06,6814.6235
1,2015-09-07,6567.8145
1,2015-09-08,6567.8145
1,2015-09-09,6332.5957
1,2015-09-10,5859.829
1,2015-09-11,5862.8306
1,2015-09-12,6503.62
1,2015-09-13,6582.16
1,2015-09-14,8850.4375
1,2015-09-15,8850.4375
1,2015-09-16,7840.5728
1,2015-09-17,7091.3496
1,2015-09-18,6864.7095
1,2015-09-19,7383.6772
1,2015-09-20,6746.9487
1,2015-09-21,6465.2515
1,2015-09-22,6465.2515
1,2015-09-23,6056.934
1,2015-09-24,5555.5786
1,2015-09-25,5588.2827
1,2015-09-26,6344.7163
1,2015-09-27,6613.065
1,2015-09-28,8474.643
1,2015-09-29,8474.643
1,2015-09-30,8747.758
1,2015-10-01,7971.741
1,2015-10-02,8127.0527
1,2015-10-03,5842.565
1,2015-10-04,8118.6753
1,2015-10-05,8931.119
1,2015-10-06,8931.119
1,2015-10-07,7888.878
1,2015-10-08,7223.551
1,2015-10-09,7081.084
1,2015-10-10,7713.548
1,2015-10-11,7237.346
1,2015-10-12,6703.303
1,2015-10-13,6703.303
1,2015-10-14,6385.024
1,2015-10-15,5944.9087
1,2015-10-16,5918.252
1,2015-10-17,6594.058
1,2015-10-18,6996.498
1,2015-10-19,8515.089
1,2015-10-20,8515.089
1,2015-10-21,7463.8916
1,2015-10-22,6751.4775
1,2015-10-23,6817.9624
2,2015-08-01,5610.962
2,2015-08-02,3407.976
2,2015-08-03,7405.9697
2,2015-08-04,7405.9697
2,2015-08-05,6642.2705
2,2015-08-06,5760.0986
2,2015-08-07,5655.4907
2,2015-08-08,5513.5596
2,2015-08-09,3582.4382
2,2015-08-10,4563.902
2,2015-08-11,4563.902
2,2015-08-12,4332.45
2,2015-08-13,4093.1394
2,2015-08-14,4038.3142
2,2015-08-15,4645.5483
2,2015-08-16,3385.6643
2,2015-08-17,7984.478
2,2015-08-18,7984.478
2,2015-08-19,7035.8076
2,2015-08-20,6138.5654
2,2015-08-21,5696.601
2,2015-08-22,5494.616
2,2015-08-23,3495.057
2,2015-08-24,4354.8877
2,2015-08-25,4354.8877
2,2015-08-26,3887.841
2,2015-08-27,3926.709
2,2015-08-28,4137.1636
2,2015-08-29,5117.8364
2,2015-08-30,3572.9653
2,2015-08-31,6978.192
2,2015-09-01,8402.909
2,2015-09-02,6884.929
2,2015-09-03,6265.7236
2,2015-09-04,5868.0615
2,2015-09-05,5736.5474
2,2015-09-06,3605.9268
2,2015-09-07,4807.7275
2,2015-09-08,4807.7275
2,2015-09-09,4624.922
2,2015-09-10,4248.691
2,2015-09-11,4194.844
2,2015-09-12,4391.8496
2,2015-09-13,3268.718
2,2015-09-14,7656.0566
2,2015-09-15,7656.0566
2,2015-09-16,6564.907
2,2015-09-17,5964.4595
2,2015-09-18,5626.8364
2,2015-09-19,5730.745
2,2015-09-20,3447.517
2,2015-09-21,4604.9766
2,2015-09-22,4604.9766
2,2015-09-23,4315.733
2,2015-09-24,3936.9624
2,2015-09-25,3979.52
2,2015-09-26,4098.3096
2,2015-09-27,3288.726
2,2015-09-28,7953.2866
2,2015-09-29,7953.2866
2,2015-09-30,8846.186
2,2015-10-01,5490.5903
2,2015-10-02,6073.7827
2,2015-10-03,3459.253
2,2015-10-04,4263.7964
2,2015-10-05,7440.2827
2,2015-10-06,7440.2827
2,2015-10-07,6477.3857
2,2015-10-08,5840.8096
2,2015-10-09,5620.285
2,2015-10-10,5874.2017
2,2015-10-11,3558.9795
2,2015-10-12,4845.621
2,2015-10-13,4845.621
2,2015-10-14,4507.6606
2,2015-10-15,4383.827
2,2015-10-16,4323.2363
2,2015-10-17,4602.6187
2,2015-10-18,3323.5215
2,2015-10-19,7016.721
2,2015-10-20,7016.721
2,2015-10-21,5745.5474
2,2015-10-22,5254.6406
2,2015-10-23,5324.1445
3,2015-08-01,7820.591
3,2015-08-02,4601.264
3,2015-08-03,9544.737
3,2015-08-04,9544.737
3,2015-08-05,8673.798
3,2015-08-06,7513.512
3,2015-08-07,7692.859
3,2015-08-08,7723.1885
3,2015-08-09,4820.0166
3,2015-08-10,6264.082
3,2015-08-11,6264.082
3,2015-08-12,6064.756
3,2015-08-13,5547.328
3,2015-08-14,5827.974
3,2015-08-15,6607.47
3,2015-08-16,4326.449
3,2015-08-17,10136.246
3,2015-08-18,10136.246
3,2015-08-19,9067.801
3,2015-08-20,7892.444
3,2015-08-21,7746.9463
3,2015-08-22,7703.8413
3,2015-08-23,4708.717
3,2015-08-24,5952.9243
3,2015-08-25,5952.9243
3,2015-08-26,5454.2085
3,2015-08-27,5214.9595
3,2015-08-28,5709.369
3,2015-08-29,6862.303
3,2015-08-30,4301.0913
3,2015-08-31,8576.2295
3,2015-09-01,10658.9
3,2015-09-02,9025.899
3,2015-09-03,8126.6475
3,2015-09-04,8096.2935
3,2015-09-05,8137.0405
3,2015-09-06,4990.0767
3,2015-09-07,6725.1177
3,2015-09-08,6725.1177
3,2015-09-09,6510.645
3,2015-09-10,5854.366
3,2015-09-11,6084.474
3,2015-09-12,6453.74
